x y z rvir redshift log_sSFR color
-0.13898 0.05003 0.81151 0.00226 0.02739 -11.04 blue
0.03825 0.04468 0.82069 0.00103 0.02732 4.32 blue
-0.09803 0.04070 0.61744 0.00074 0.02090 nan blue
-0.12101 0.04426 0.75920 0.00067 0.02560 -8.30 blue
-0.11090 0.03723 0.78367 0.00258 0.02633 -10.96 blue
0.01979 0.04284 0.83338 0.00113 0.02771 -9.59 blue
-0.05474 0.02050 0.65468 0.00105 0.02191 -10.01 blue
-0.00239 0.01817 0.69091 0.00098 0.02302 -10.85 blue
-0.05667 0.05592 0.76331 0.00112 0.02552 -10.64 blue
-0.04136 0.06146 0.67212 0.00081 0.02253 -9.63 blue
-0.26565 0.03154 0.75936 0.00131 0.02674 -9.89 blue
-0.07413 0.02844 0.61975 0.00142 0.02085 -13.18 red
-0.07821 0.02809 0.68479 0.00156 0.02298 -12.07 red
-0.00228 0.05188 0.82187 0.00130 0.02734 -12.98 red
-0.10803 0.03805 0.71593 0.00155 0.02413 -11.08 blue
-0.10086 0.03403 0.70236 0.00275 0.02365 -10.97 blue
